Problem Size,Sum Direct, Sum Indirect, Sum Vector
8388608, 13981, 704.9250, 3495.2533
16777216, 13981, 256.9252, 3647.2208
33554432, 13981, 204.1023, 3728.2702
67108864, 13981.01333, 183.2574, 3770.1608
134217728, 13981.01333, 191.7122, 3867.9460
268435456, 13908.5728, 66.09268, 4042.7026
